wd11cd,wd11nm,Cluster,Gym,Poverty_family,GreenSpace,is_high_obesity
E05000417,Brixton Hill,4,0.0,0.0,0.0,True
E05000418,Clapham Common,4,0.0,0.0,0.0,True
E05000419,Clapham Town,4,0.0,0.0,0.0,True
E05000421,Ferndale,4,10.0,0.0,0.0,True
E05000422,Gipsy Hill,4,10.0,0.0,0.0,True
E05000424,Knight's Hill,4,0.0,0.0,0.0,True
E05000426,Oval,4,10.0,0.0,0.0,True
E05000429,Stockwell,4,10.0,0.0,0.0,True
E05000430,Streatham Hill,4,0.0,0.0,0.0,True
E05000432,Streatham Wells,4,0.0,0.0,0.0,True
E05000433,Thornton,4,0.0,0.0,0.0,True
E05000434,Thurlow Park,4,0.0,0.0,0.0,True
E05000435,Tulse Hill,4,10.0,0.0,0.0,True
E05000436,Vassall,4,10.0,0.0,0.0,True
E05000437,Bellingham,4,0.0,10.0,0.0,True
E05000439,Brockley,4,10.0,0.0,0.0,True
E05000442,Downham,4,10.0,0.0,0.0,True
E05000443,Evelyn,4,10.0,0.0,0.0,True
E05000444,Forest Hill,4,0.0,0.0,0.0,True
E05000445,Grove Park,4,10.0,0.0,0.0,True
E05000450,Perry Vale,4,0.0,0.0,0.0,True
E05000452,Sydenham,4,10.0,0.0,0.0,True
E05000454,Whitefoot,4,0.0,10.0,0.0,True
E05000458,Cricket Green,4,10.0,0.0,0.0,True
E05000460,Figge's Marsh,4,10.0,0.0,0.0,True
E05000463,Lavender Fields,4,10.0,0.0,0.0,True
E05000468,Ravensbury,4,10.0,0.0,0.0,True
E05000470,St Helier,4,10.0,0.0,0.0,True
E05000475,Beckton,4,10.0,0.0,0.0,True
E05000478,Canning Town South,4,10.0,0.0,0.0,True
E05000483,Forest Gate North,4,10.0,0.0,0.0,True
E05000487,Little Ilford,4,10.0,0.0,0.0,True
E05000488,Manor Park,4,10.0,0.0,0.0,True
E05000491,Royal Docks,4,10.0,0.0,0.0,True
E05000494,West Ham,4,10.0,0.0,0.0,True
E05000507,Loxford,4,10.0,0.0,0.0,True
E05000534,Brunswick Park,4,10.0,0.0,0.0,True
E05000535,Camberwell Green,4,10.0,0.0,0.0,True
E05000536,Cathedrals,4,0.0,10.0,0.0,True
E05000537,Chaucer,4,10.0,0.0,0.0,True
E05000540,East Walworth,4,10.0,0.0,0.0,True
E05000542,Grange,4,10.0,0.0,0.0,True
E05000543,Livesey,4,10.0,0.0,0.0,True
E05000544,Newington,4,10.0,0.0,0.0,True
E05000545,Nunhead,4,0.0,10.0,0.0,True
E05000546,Peckham,4,0.0,10.0,0.0,True
E05000547,Peckham Rye,4,0.0,0.0,0.0,True
E05000548,Riverside,4,10.0,0.0,0.0,True
E05000552,Surrey Docks,4,0.0,0.0,0.0,True
E05000553,The Lane,4,10.0,0.0,0.0,True
E05000556,Beddington South,4,0.0,0.0,0.0,True
E05000571,Wandle Valley,4,0.0,0.0,0.0,True
E05000591,Cathall,4,10.0,0.0,0.0,True
E05000593,Chingford Green,4,0.0,0.0,0.0,True
E05000594,Endlebury,4,0.0,0.0,0.0,True
E05000606,Markhouse,4,0.0,0.0,0.0,True
E05000612,Earlsfield,4,0.0,0.0,0.0,True
E05000616,Graveney,4,0.0,0.0,0.0,True
E05000617,Latchmere,4,10.0,0.0,0.0,True
E05000621,Roehampton and Putney Heath,4,10.0,0.0,0.0,True
E05000622,St Mary's Park,4,0.0,0.0,0.0,True
E05000626,Tooting,4,0.0,0.0,0.0,True
E05000628,West Hill,4,0.0,0.0,0.0,True
E05000629,West Putney,4,0.0,0.0,0.0,True
E05000633,Churchill,4,10.0,0.0,0.0,True
E05000634,Church Street,4,10.0,0.0,0.0,True
E05000635,Harrow Road,4,10.0,0.0,0.0,True
E05000642,Queen's Park,4,10.0,0.0,0.0,True
E05000645,Tachbrook,4,0.0,10.0,0.0,True
E05000646,Vincent Square,4,0.0,0.0,0.0,True
E05000648,Westbourne,4,0.0,10.0,0.0,True
