Site ID,Facility Type,Facility Subtype,Facility ID,Automatic Start Gate,Bike Wash,Timing System,Start Gate,No of Persons Start Gate,Number of Straights,Number of Turns,Surface,Artificial Sports Lighting,Start Hill Elevation,Start Hill Width,Start Straight Length,Start Straight Width,Length of Straights,Degree of Banking at Middle of Bends,Degree of Banking at Middle of Straight,Overall Width,Total Length,Width of Turns/Bends,Radius of Turns/Bends,Finish Straight Length,Finish Straight Width,Black Trails,Length of Black Trails,Blue Trails,Length of Blue Trails,Extreme Trails,Length of Extreme Trails,Green Trails,Length of Green Trails,Red Trails,Length of Red Trails,Length of All Trails,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,OBJECTID,Created Date,x,y
30005269,Cycling,Mountain Bike - Trails,30009772,,No,,,,,,,,,,,,,,,,,,,,,No,0,No,0,No,0,No,0,No,0,0,Operational,,,,,Sports Club / Community Association,Public Access,Other,Others,No,No,No,No,No,No,No,No,No,No,No,,2016,No,Yes,2018,No,No,,Dawn To Dusk,All Year,,,,7/8/2024 2:29:07 PM,Yes,179077,30672,50.13488,-5.092855,85,2/24/2017 12:41:44 PM,179077,30672
30005270,Cycling,BMX - Race Track,30009773,No,,,Yes,8,4,3,Various,No,7,10,44,9,,,,5,300,5,,40,6,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,No,No,No,No,No,No,No,,2000,Yes,Yes,2010,No,No,,Dawn To Dusk,All Year,,,,2/19/2024 9:23:20 AM,Yes,435339,290974,52.51553,-1.480661,86,2/24/2017 12:46:33 PM,435339,290974
30005272,Cycling,Mountain Bike - Trails,30009775,,No,,,,,,,,,,,,,,,,,,,,,No,0,Yes,9.5,No,0,No,0,Yes,2.3,11.8,Operational,"1 Blue Trail - 12km
2 Red Trails - 800m & 1500m",,,,Free Public Access,Public Access,Other,Others,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,,2000,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,3/5/2024 2:39:11 PM,Yes,210015,66756,50.46976,-4.678616,87,2/24/2017 12:50:20 PM,210015,66756
30005274,Cycling,Mountain Bike - Trails,30009777,,No,,,,,,,,,,,,,,,,,,,,,Yes,1.1,No,1.8,Yes,0.8,No,0,Yes,1.6,5.3,Operational,,,,,Free Public Access,Public Access,Other,Others,No,No,No,No,No,No,No,No,No,No,No,,2000,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,2/19/2024 1:44:21 PM,Yes,245851,69627,50.50608,-4.175231,88,2/24/2017 12:58:04 PM,245851,69627
30006707,Cycling,BMX - Pump Track,30013099,No,,,No,,,,Various,No,,,,,,,,3,100,,,,,,,,,,,,,,,,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,No,No,No,No,No,No,,2009,No,No,,No,No,,Dawn To Dusk,All Year,,,,2/15/2024 11:44:14 AM,Yes,512544,171551,51.4318,-0.3824093,89,9/22/2017 2:33:41 PM,512544,171551
30005278,Cycling,BMX - Race Track,30009781,Yes,,,Yes,8,4,4,Various,Yes,5,9,60,8,,,,5.5,400,6,,40,6,,,,,,,,,,,,Operational,,Royston Rockets BMX Racing Club,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,Yes,Yes,No,No,Yes,No,No,,1985,Yes,Yes,2017,No,No,,Dawn To Dusk,All Year,,,,6/7/2024 12:04:52 PM,Yes,535722,241937,52.05921,-0.02172543,90,2/24/2017 1:29:03 PM,535722,241937
30005282,Cycling,Cycle Speedway - Track,30009788,,,,,,,,Shale,No,,,,,,1,1,4.5,77,,,,,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,No,No,No,No,No,No,No,,2000,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,5/7/2024 2:15:59 PM,Yes,431315,278555,52.40413,-1.541109,91,2/24/2017 2:06:27 PM,431315,278555
30005283,Cycling,Mountain Bike - Trails,30009789,,No,,,,,,,,,,,,,,,,,,,,,No,0,No,0,No,0,No,0,No,0,0,Operational,,,,,Private Use,Private,Other,Others,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,2000,Yes,No,,Yes,No,,Detailed Timings,All Year,,,,12/19/2024 10:57:38 AM,Yes,419731,371075,53.23636,-1.705828,92,2/24/2017 2:16:56 PM,419731,371075
30005285,Cycling,Cycle Speedway - Track,30009791,,,,,,,,Shale,No,,,,,,1,1,4.25,77,,,,,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,No,No,No,No,No,No,No,,2007,No,Yes,2012,No,No,,Dawn To Dusk,All Year,,,,2/26/2024 1:17:26 PM,Yes,442808,277217,52.39133,-1.372366,93,2/24/2017 2:24:46 PM,442808,277217
30005286,Cycling,BMX - Race Track,30009792,No,,,No,8,4,3,Various,No,5,8.5,48,8,,,,5,300,6,,50,6,,,,,,,,,,,,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,No,No,No,No,No,No,,2003,No,No,,No,No,,Dawn To Dusk,All Year,,,,2/8/2024 9:34:50 AM,Yes,439763,393274,53.43478,-1.402947,94,2/24/2017 2:32:08 PM,439763,393274
30005287,Cycling,BMX - Pump Track,30009793,No,,,No,,,,Various,No,,,,,,,,3,100,,,,,,,,,,,,,,,,Operational,,,,,Free Public Access,Public Access,Community Organisation,Others,No,No,No,No,No,No,No,No,No,No,No,,2001,No,Yes,2008,No,No,,Dawn To Dusk,All Year,,,,1/16/2024 9:34:46 AM,Yes,411855,538706,54.7432,-1.817371,95,2/24/2017 2:45:15 PM,411855,538706
1042728,Cycling,BMX - Pump Track,30009794,No,,,No,,,,Various,No,,,,,,,,3,100,,,,,,,,,,,,,,,,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,No,No,No,No,No,No,,2000,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,9/2/2024 11:08:42 AM,Yes,433916,291182,52.51749,-1.501602,96,2/24/2017 2:49:12 PM,433916,291182
30005289,Cycling,Cycle Speedway - Track,30009796,,,,,,,,Shale,Yes,,,,,,7,3,5.5,89,,,,,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,No,No,No,Yes,Yes,No,No,No,No,No,No,,1962,No,No,,No,No,,Dawn To Dusk,All Year,,,,12/14/2023 4:16:06 PM,Yes,395937,301942,52.61525,-2.061435,97,2/24/2017 3:23:16 PM,395937,301942
6007800,Cycling,BMX - Race Track,30009797,No,,,No,8,4,4,Concrete,Yes,5,8,77,6,,,,6,400,5,,50,6,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,Yes,No,No,No,No,Yes,No,No,No,No,No,,1998,No,Yes,2015,No,No,,Dawn To Dusk,All Year,,,,2/1/2024 10:04:58 AM,Yes,286359,70494,50.52315,-3.604509,98,2/24/2017 3:25:22 PM,286359,70494
30005290,Cycling,BMX - Race Track,30009798,No,,,No,6,4,3,Macadam,No,2,8,42,7.5,,,,5,300,5.5,,41,6,,,,,,,,,,,,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,No,No,No,No,No,No,,1984,No,Yes,2014,No,No,,Dawn To Dusk,All Year,,,,12/21/2023 11:13:39 AM,Yes,447790,320567,52.7806,-1.292925,99,2/24/2017 3:33:52 PM,447790,320567
30005291,Cycling,BMX - Pump Track,30009799,No,,,No,,,,Macadam,Yes,,,,,,,,6,100,,,,,,,,,,,,,,,,Operational,Refurb June 2019 - https://www.burnhamandhighbridgeweeklynews.co.uk/news/17709711.works-underway-to-upgrade-burnham-on-sea-bmx-club/,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,No,No,No,No,No,No,No,,1993,Yes,Yes,2019,No,No,,Dawn To Dusk,All Year,,,,11/29/2023 8:17:43 AM,Yes,330923,147983,51.22684,-2.990628,100,2/24/2017 3:34:25 PM,330923,147983
30005292,Cycling,Mountain Bike - Trails,30009800,,No,,,,,,,,,,,,,,,,,,,,,No,0,Yes,7.5,No,0,No,0,Yes,19,26.5,Operational,"26,500m overall length",,,,Free Public Access,Public Access,Other,Others,No,No,No,No,No,No,No,No,No,No,No,,2000,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,5/2/2024 2:13:02 PM,Yes,320821,524506,54.6095,-3.227413,101,2/24/2017 3:40:08 PM,320821,524506
30005293,Cycling,Mountain Bike - Trails,30009801,,No,,,,,,,,,,,,,,,,,,,,,Yes,2,No,0,No,0,No,0,Yes,7,9,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,No,No,No,No,No,No,,2008,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,11/28/2024 11:03:33 AM,Yes,386768,420901,53.68441,-2.201811,102,2/24/2017 3:48:05 PM,386768,420901
30005294,Cycling,BMX - Pump Track,30009802,No,,,No,,,,Macadam,No,,,,,,,,5,100,,,,,,,,,,,,,,,,Operational,,,,,Pay and Play,Public Access,Sport Club,Others,No,No,No,Yes,Yes,No,No,No,No,No,No,,2017,No,No,,No,No,,Dawn To Dusk,All Year,,,,4/23/2024 8:41:13 AM,Yes,492022,290152,52.50153,-0.6457792,103,2/24/2017 3:51:28 PM,492022,290152
30005295,Cycling,BMX - Pump Track,30009803,No,,,Yes,,,,Macadam,No,,,,,,,,5,100,,,,,,,,,,,,,,,,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,No,No,No,No,No,No,,2010,No,No,,No,No,,Dawn To Dusk,All Year,,,,5/1/2024 3:02:43 PM,Yes,349271,240215,52.05799,-2.741297,104,2/24/2017 4:08:10 PM,349271,240215
30005296,Cycling,BMX - Pump Track,30009805,No,,,No,,,,Concrete,No,,,,,,,,4,100,,,,,,,,,,,,,,,,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,No,No,No,No,No,No,,2002,No,No,,No,No,,Dawn To Dusk,All Year,,,,2/19/2024 9:41:18 AM,Yes,366712,312380,52.70807,-2.494111,105,2/24/2017 4:22:23 PM,366712,312380
30005297,Cycling,Mountain Bike - Trails,30009806,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,8,Yes,9,No,0,No,0,Yes,14.5,31.5,Operational,,,,,Free Public Access,Public Access,Other,Others,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,"3 disabled bays 2 by toilet block , 1 staff car park",2005,Yes,Yes,2016,Yes,No,,Dawn To Dusk,All Year,,,,10/3/2023 2:07:16 PM,Yes,409354,531257,54.6763,-1.856469,106,2/27/2017 8:47:48 AM,409354,531257
30005298,Cycling,Mountain Bike - Trails,30009807,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,6.3,Yes,12.7,No,0,Yes,3.7,Yes,4.2,26.9,Operational,,,,,Free Public Access,Public Access,Other,Others,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,,2000,Yes,No,,Yes,No,,Dawn To Dusk,All Year,,,,11/24/2023 12:40:36 PM,Yes,363205,593676,55.23591,-2.580134,107,2/27/2017 8:59:46 AM,363205,593676
30005299,Cycling,Mountain Bike - Trails,30009809,,No,,,,,,,,,,,,,,,,,,,,,No,0,No,0,No,0,No,0,No,0,0,Operational,,,,,Registered Membership use,Public Access,Community Organisation,Others,No,No,No,No,No,No,No,No,No,No,No,,2000,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,6/17/2024 2:51:46 PM,Yes,480118,485006,54.25449,-0.7717464,108,2/27/2017 9:17:10 AM,480118,485006
30005300,Cycling,Mountain Bike - Trails,30009811,,Yes,,,,,,,,,,,,,,,,,,,,,No,0,Yes,17.7,No,0,No,0,No,0,17.7,Operational,,,,,Free Public Access,Public Access,Other,Others,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,,1999,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,4/25/2024 8:05:25 AM,Yes,354466,371236,53.23621,-2.683664,109,2/27/2017 9:44:31 AM,354466,371236
30005301,Cycling,Cycle Speedway - Track,30009812,,,,,,,,Shale,Yes,,,,,,1,1,5.5,69,,,,,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,Yes,No,No,No,No,No,No,,2002,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,1/11/2024 3:27:31 PM,Yes,421240,423534,53.70782,-1.679695,110,2/27/2017 9:55:10 AM,421240,423534
30005303,Cycling,Mountain Bike - Trails,30009815,,No,,,,,,,,,,,,,,,,,,,,,Yes,1.3,No,0,No,0,No,0,Yes,16.1,17.4,Operational,,,,,Free Public Access,Public Access,Other,Others,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,,2000,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,5/15/2024 12:08:35 PM,Yes,333548,494413,54.34093,-3.023631,111,2/27/2017 10:08:58 AM,333548,494413
30005304,Cycling,Cycle Speedway - Track,30009816,,,,,,,,Shale,No,,,,,,1,1,6,87,,,,,,,,,,,,,,,,Closed,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,No,Yes,No,No,No,No,No,Not Known,,1981,No,No,,No,No,,Dawn To Dusk,All Year,,5/1/2018 12:00:00 AM,Strategic Review - facility/site not being replaced,10/27/2023 12:06:52 PM,Yes,358116,178160,51.50081,-2.604793,112,2/27/2017 10:13:43 AM,358116,178160
1011417,Cycling,Track - Outdoor Velodrome,30009820,,,No,,,,,Macadam,Yes,,,,,100,45,12,9,485,,40,,,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,1949,No,Yes,2005,Yes,No,,Detailed Timings,All Year,,,,5/22/2024 9:27:30 AM,Yes,487605,410288,53.5819,-0.678235,113,2/27/2017 10:36:49 AM,487605,410288
30005306,Cycling,Mountain Bike - Trails,30009821,,No,,,,,,,,,,,,,,,,,,,,,No,0,No,0,No,0,No,0,No,0,0,Operational,,,,,Free Public Access,Public Access,Sport Club,Others,No,No,No,No,No,Yes,No,No,No,No,No,,2000,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,5/10/2024 8:50:07 AM,Yes,415526,182131,51.53788,-1.777524,114,2/27/2017 10:44:06 AM,415526,182131
30005307,Cycling,BMX - Race Track,30009822,No,,,No,8,4,4,Macadam,No,2,10,64,7.5,,,,5.5,368,5,,47,6,,,,,,,,,,,,Closed,,,,,Free Public Access,Public Access,Other,Others,No,No,No,No,No,No,No,No,No,No,Not Known,,,No,No,,No,No,,Dawn To Dusk,All Year,,11/14/2017 12:00:00 AM,Strategic Review - facility/site not being replaced,11/14/2017 11:39:39 AM,Yes,573817,228945,51.93188,0.5268161,115,2/27/2017 10:45:00 AM,573817,228945
30005309,Cycling,BMX - Race Track,30009824,Yes,,,Yes,8,4,3,Various,No,2,8,58,7,,,,5,285,5,,50,6,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,No,No,No,No,No,No,No,,1984,No,No,,No,No,,Detailed Timings,All Year,,,,10/30/2023 10:54:01 AM,Yes,441438,373825,53.25983,-1.380274,116,2/27/2017 10:59:33 AM,441438,373825
30005310,Cycling,BMX - Race Track,30009825,No,,,No,8,4,4,Dolomite Stone Dust,No,1.5,8,52,6,,,,4,325,5,,54,6,,,,,,,,,,,,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,No,No,No,No,No,No,,1990,Yes,Yes,2017,No,No,,Dawn To Dusk,All Year,,,,12/11/2024 12:20:32 PM,Yes,488375,241059,52.06089,-0.7123278,117,2/27/2017 11:04:26 AM,488375,241059
30005311,Cycling,Road - Closed Road Cycling Circuit,30009826,,,No,,,,,Macadam,Yes,,,,,,,,5.3,1000,,20,100,5.3,,,,,,,,,,,,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,2008,No,Yes,2012,No,No,,Dawn To Dusk,All Year,,,,9/16/2024 6:30:53 AM,Yes,414480,279032,52.40912,-1.788556,118,2/27/2017 11:12:02 AM,414480,279032
30005312,Cycling,BMX - Pump Track,30009827,No,,,Yes,,,,Concrete,No,,,,,,,,6,100,,,,,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,No,No,No,No,No,No,No,,2013,Yes,Yes,2015,No,No,,Dawn To Dusk,All Year,,,,11/23/2023 3:59:57 PM,Yes,505311,165944,51.38279,-0.4880821,119,2/27/2017 11:13:39 AM,505311,165944
30005313,Cycling,BMX - Pump Track,30009828,No,,,Yes,,,,Dolomite Stone Dust,No,,,,,,,,6,100,,,,,,,,,,,,,,,,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,No,No,No,No,No,No,,2000,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,12/20/2024 10:58:59 AM,Yes,421497,441658,53.8707,-1.674559,120,2/27/2017 11:19:27 AM,421497,441658
30005314,Cycling,Mountain Bike - Trails,30009829,,No,,,,,,,,,,,,,,,,,,,,,No,0,No,0,No,0,No,0,Yes,16,16,Operational,,,,,Free Public Access,Public Access,Other,Others,No,No,No,Yes,Yes,No,No,No,No,No,No,,2000,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,12/6/2023 4:46:25 PM,Yes,638049,255943,52.15044,1.478273,121,2/27/2017 11:23:45 AM,638049,255943
30005315,Cycling,Road - Closed Road Cycling Circuit,30009830,,,No,,,,,Macadam,No,,,,,,,,7,1500,,20,100,8,,,,,,,,,,,,Operational,,LEX Leisure,,,Pay and Play,Public Access,Private Contractor (PPP/PFI),Others,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Accessible toilets available close by.,2014,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,10/15/2024 11:10:03 AM,Yes,288933,59383,50.42376,-3.564899,122,2/27/2017 11:25:11 AM,288933,59383
30005316,Cycling,BMX - Race Track,30009831,No,,,No,8,4,4,Dolomite Stone Dust,No,4,8,52,7,,,,6,300,5.5,,40,6,,,,,,,,,,,,Operational,,,,,Free Public Access,Public Access,Sport Club,Others,No,No,No,No,No,No,No,No,No,No,No,,2000,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,5/13/2024 9:27:30 AM,Yes,618014,242593,52.03886,1.177379,123,2/27/2017 11:25:40 AM,618014,242593
30005317,Cycling,Cycle Speedway - Track,30009832,,,,,,,,Shale,Yes,,,,,,7,3,6,75,,,,,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,Yes,Yes,No,No,No,No,No,No,,1980,No,Yes,2015,Yes,Yes,2017,Detailed Timings,All Year,,,,11/7/2024 2:37:25 PM,Yes,402149,90538,50.71446,-1.970918,124,2/27/2017 11:32:44 AM,402149,90538
30005318,Cycling,BMX - Race Track,30009833,No,,,Yes,8,4,4,Dolomite Stone Dust,No,5,8,67,9,,,,5,350,4,,69,6,,,,,,,,,,,,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,Yes,No,No,No,No,No,,2001,No,Yes,2013,No,No,,Dawn To Dusk,All Year,,,,12/1/2023 12:35:05 PM,Yes,508910,180339,51.5115,-0.4319589,125,2/27/2017 11:33:50 AM,508910,180339
30005320,Cycling,Cycle Speedway - Track,30009836,,,,,,,,Shale,No,,,,,,7,3,5,64,,,,,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,Yes,Yes,No,No,No,No,No,No,,2004,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,4/23/2024 10:38:29 AM,Yes,556228,111358,50.8806,0.2194515,126,2/27/2017 11:40:11 AM,556228,111358
30005321,Cycling,BMX - Pump Track,30009837,No,,,Yes,,,,Various,No,,,,,,,,6,100,,,,,,,,,,,,,,,,Closed,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,No,No,No,No,No,No,Not Known,,,No,No,,No,No,,Dawn To Dusk,All Year,,5/1/2016 12:00:00 AM,Strategic Review - facility/site not being replaced,5/29/2018 11:05:17 AM,Yes,463170,391357,53.41527,-1.051043,127,2/27/2017 11:40:19 AM,463170,391357
30005322,Cycling,Mountain Bike - Trails,30009838,,No,,,,,,,,,,,,,,,,,,,,,No,0,No,0,No,0,No,0,Yes,4,4,Operational,,,,,Free Public Access,Public Access,Other,Others,No,No,No,No,No,No,No,No,No,No,No,,2000,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,10/1/2024 12:12:49 PM,Yes,413706,558374,54.91988,-1.787711,128,2/27/2017 11:42:56 AM,413706,558374
30005323,Cycling,Cycle Speedway - Track,30009839,,,,,,,,Shale,No,,,,,,1,1,4.5,77.4,,,,,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,No,No,No,No,No,No,No,,2000,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,7/10/2024 11:55:35 AM,Yes,458301,305282,52.64217,-1.139818,129,2/27/2017 12:02:14 PM,458301,305282
30005324,Cycling,Cycle Speedway - Track,30009840,,,,,,,,Shale,Yes,,,,,,4,1,4.5,87,,,,,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,No,No,No,No,No,No,No,,1999,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,12/13/2023 2:23:50 PM,Yes,439377,114311,50.92691,-1.441079,130,2/27/2017 12:07:47 PM,439377,114311
30005325,Cycling,Mountain Bike - Trails,30009841,,No,,,,,,,,,,,,,,,,,,,,,No,0,Yes,11.2,No,0,Yes,4.8,Yes,13,29,Operational,,,,,Free Public Access,Public Access,Other,Others,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,,2000,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,9/4/2024 1:04:12 PM,Yes,461230,363654,53.16651,-1.085565,131,2/27/2017 12:11:20 PM,461230,363654
30005326,Cycling,Mountain Bike - Trails,30009842,,No,,,,,,,,,,,,,,,,,,,,,No,0,Yes,7,No,0,No,0,Yes,11,18,Operational,,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,Yes,No,No,No,No,Yes,No,No,No,Yes,No,,2005,No,No,,No,No,,Dawn To Dusk,All Year,,,,10/3/2023 10:51:30 AM,Yes,635271,153990,51.23656,1.369028,132,2/27/2017 12:16:47 PM,635271,153990
30005327,Cycling,Mountain Bike - Trails,30009843,,No,,,,,,,,,,,,,,,,,,,,,No,0,Yes,6.44,No,0,No,0,Yes,0.8,7.24,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,Yes,No,No,No,No,No,No,No,No,No,No,,2000,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,2/12/2024 10:03:36 AM,Yes,355857,171956,51.44486,-2.636555,133,2/27/2017 12:26:02 PM,355857,171956
30005328,Cycling,Cycle Speedway - Track,30009845,,,,,,,,Shale,No,,,,,,1,1,6,92,,,,,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,,2009,No,No,,No,No,,Dawn To Dusk,All Year,,,,11/22/2023 8:44:25 AM,Yes,387491,347097,53.02104,-2.187915,134,2/27/2017 12:33:19 PM,387491,347097
6008351,Cycling,BMX - Race Track,30009846,No,,,No,1,4,3,Various,No,5,8.5,45,7.5,,,,6,250,8,,38,6,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,No,No,No,No,No,No,,2012,No,Yes,2017,No,No,,Detailed Timings,All Year,,,,5/21/2024 8:11:36 AM,Yes,500625,222546,51.8924,-0.5391333,135,2/27/2017 12:35:28 PM,500625,222546
30005329,Cycling,BMX - Race Track,30009847,Yes,,,Yes,8,4,3,Concrete,No,10,8,61,10,,,,5,330,6,,69,6,,,,,,,,,,,,Operational,,,,,Pay and Play,Public Access,Commercial Management,Commercial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,2012,No,No,,Yes,No,,Detailed Timings,All Year,,,,12/8/2023 11:40:05 AM,Yes,563780,171542,51.41924,0.3540775,136,2/27/2017 12:49:28 PM,563780,171542
30005329,Cycling,Mountain Bike - Trails,30009848,,No,,,,,,,,,,,,,,,,,,,,,No,0,No,0,No,0,No,0,No,0,0,Operational,,,,,Pay and Play,Public Access,Commercial Management,Commercial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,2012,No,No,,Yes,No,,Detailed Timings,All Year,,,,12/8/2023 11:40:06 AM,Yes,563780,171542,51.41924,0.3540775,137,2/27/2017 12:49:28 PM,563780,171542
30005329,Cycling,Road - Closed Road Cycling Circuit,30009849,,,No,,,,,Macadam,No,,,,,,,,6,2900,,20,100,6,,,,,,,,,,,,Operational,,,,,Pay and Play,Public Access,Commercial Management,Commercial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,2012,No,No,,Yes,No,,Detailed Timings,All Year,,,,12/8/2023 11:40:07 AM,Yes,563780,171542,51.41924,0.3540775,138,2/27/2017 12:49:28 PM,563780,171542
1207942,Cycling,BMX - Race Track,30009850,Yes,,,Yes,8,4,3,Macadam,No,10,10,100,10,,,,6,310,8,,80,6,,,,,,,,,,,,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,Yes,Yes,Yes,No,No,No,No,No,,2008,No,Yes,2014,Yes,No,,Dawn To Dusk,All Year,,,,2/28/2024 12:46:08 PM,Yes,437653,334542,52.90702,-1.44159,139,2/27/2017 12:55:17 PM,437653,334542
30005330,Cycling,BMX - Pump Track,30009851,No,,,No,,,,Concrete,No,,,,,,,,5,100,,,,,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,No,No,No,No,No,No,,2014,No,No,,No,No,,Dawn To Dusk,All Year,,,,11/15/2024 10:10:57 AM,Yes,522891,181527,51.51931,-0.2301688,140,2/27/2017 2:12:01 PM,522891,181527
30005331,Cycling,BMX - Pump Track,30009852,No,,,No,,,,Various,No,,,,,,,,4,100,,,,,,,,,,,,,,,,Operational,,,7/1/2014 12:00:00 AM,,Free Public Access,Public Access,Commercial Management,Commercial,No,No,No,No,No,No,No,No,No,No,No,,2014,No,No,,No,No,,Dawn To Dusk,All Year,,,,6/18/2024 2:54:29 PM,Yes,520281,186096,51.56094,-0.2661959,141,2/27/2017 2:20:14 PM,520281,186096
