Site ID,Facility Type,Facility Subtype,Facility ID,Automatic Start Gate,Bike Wash,Timing System,Start Gate,No of Persons Start Gate,Number of Straights,Number of Turns,Surface,Artificial Sports Lighting,Start Hill Elevation,Start Hill Width,Start Straight Length,Start Straight Width,Length of Straights,Degree of Banking at Middle of Bends,Degree of Banking at Middle of Straight,Overall Width,Total Length,Width of Turns/Bends,Radius of Turns/Bends,Finish Straight Length,Finish Straight Width,Black Trails,Length of Black Trails,Blue Trails,Length of Blue Trails,Extreme Trails,Length of Extreme Trails,Green Trails,Length of Green Trails,Red Trails,Length of Red Trails,Length of All Trails,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,OBJECTID,Created Date,x,y
1004749,Cycling,Cycle Speedway - Track,30009341,,,,,,,,Shale,Yes,,,,,,1,1,5,70,,,,,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,2011,No,No,,Yes,Yes,2014,Detailed Timings,All Year,,,,11/5/2024 4:20:37 PM,Yes,435662,381397,53.32831,-1.466011,51,2/16/2017 4:31:06 PM,435662,381397
1041509,Cycling,Mountain Bike - Trails,30009343,,No,,,,,,,,,,,,,,,,,,,,,No,0,Yes,2,No,0,No,0,No,0,2,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,No,No,No,No,No,No,,2012,No,No,,No,No,,Dawn To Dusk,All Year,,,,1/24/2024 3:16:22 PM,Yes,435233,389477,53.40097,-1.471555,52,2/16/2017 4:57:37 PM,435233,389477
6002353,Cycling,BMX - Race Track,30009351,No,,,Yes,8,4,3,Various,No,2,8,40,8,,,,4,240,5,,30,6.5,,,,,,,,,,,,Operational,,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,Yes,No,No,No,No,No,No,No,No,No,Not Known,,2008,No,No,,No,No,,Dawn To Dusk,All Year,,,,2/26/2024 1:07:38 PM,Yes,336908,427487,53.73994,-2.958006,53,2/17/2017 1:45:44 PM,336908,427487
30005011,Cycling,Cycle Speedway - Track,30009352,,,,,,,,Shale,Yes,,,,,,1,1,5.8,81,,,,,,,,,,,,,,,,Operational,"Dimensions of the track:
81 m long 5.8 m wide banking 1 in 12 (bends) 1 in 25 (straights)
",,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,Yes,No,No,No,No,Yes,No,,1980,No,Yes,2018,Yes,No,,Dawn To Dusk,All Year,,,,11/2/2023 1:26:36 PM,Yes,292993,90022,50.69996,-3.516581,54,2/17/2017 3:25:08 PM,292993,90022
30005016,Cycling,Mountain Bike - Trails,30009360,,No,,,,,,,,,,,,,,,,,,,,,No,0,No,0,No,0,No,0,Yes,0.75,0.75,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,2013,Yes,No,,Yes,No,,Dawn To Dusk,All Year,,,,12/12/2023 9:58:06 AM,Yes,255189,57556,50.39999,-4.038956,55,2/20/2017 9:48:31 AM,255189,57556
30005043,Cycling,Track - Outdoor Velodrome,30009415,,,No,,,,,Macadam,Yes,,,,,100,45,12,7,402,,20,,,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,No,Yes,No,No,No,Yes,No,,1949,No,Yes,2015,Yes,No,,Dawn To Dusk,All Year,,,,5/30/2024 11:56:31 AM,Yes,397451,282932,52.44436,-2.038922,56,2/20/2017 4:34:18 PM,397451,282932
30005077,Cycling,Mountain Bike - Trails,30009474,,Yes,,,,,,,,,,,,,,,,,,,,,No,0,Yes,28,No,0,Yes,8,Yes,16,52,Operational,There are 8 mountain bikes pits along the red graded trail.,,,,Free Public Access,Public Access,Trust,Trust,No,No,No,No,No,Yes,No,No,No,Yes,No,,2010,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,5/14/2024 10:30:04 AM,Yes,581131,285162,52.43444,0.6630815,57,2/21/2017 3:09:33 PM,581131,285162
1003924,Cycling,Track - Indoor Velodrome,30009657,,,No,,,,,Nordic or Siberian Pine,,,,,,50,45,12,5,150,,20,,,,,,,,,,,,,,Operational,,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,1960,No,Yes,1997,Yes,Yes,2014,Detailed Timings,All Year,,,,1/15/2025 3:13:29 PM,Yes,448832,102395,50.81905,-1.308152,58,2/23/2017 10:08:22 AM,448832,102395
1040934,Cycling,Cycle Speedway - Track,30009696,,,,,,,,Shale,Yes,,,,,,7,3,6,90,,,,,,,,,,,,,,,,Operational,,,,,Pay and Play,Public Access,Sport Club,Others,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,,2000,Yes,Yes,2016,Yes,No,,Dawn To Dusk,All Year,,,,11/19/2024 11:23:35 AM,Yes,368791,401150,53.50612,-2.472017,59,2/23/2017 2:01:54 PM,368791,401150
30005224,Cycling,Mountain Bike - Trails,30009718,,No,,,,,,,,,,,,,,,,,,,,,No,0,Yes,8.85,No,0,Yes,4.4,Yes,2.4,15.65,Operational,,,,,Pay and Play,Public Access,Trust,Trust,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,,2011,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,12/4/2024 1:02:21 PM,Yes,432900,315534,52.73647,-1.514165,60,2/23/2017 2:59:17 PM,432900,315534
